split,seed,strategy,lang,S,D,I,N,records,WER,label
DEV,202,A_Text,tr,577,80,59,5463,338,13.106351821343583,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text+Global,tr,576,79,58,5463,338,13.05143693941058,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Conf,tr,639,74,69,5463,338,14.314479223869668,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Global,tr,615,73,73,5463,338,13.930075050338642,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text,tr,556,67,72,5463,338,12.721947647812557,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text+Global,tr,563,69,73,5463,338,12.904997254255903,POST_REVIEW_DIAGNOSTIC
DEV,202,Conf,it,504,105,55,8758,391,7.581639643754282,EXACT_REUSE
DEV,202,Global,it,512,103,54,8758,391,7.638730303722311,EXACT_REUSE
DEV,202,Text,it,419,99,45,8758,391,6.428408312400092,EXACT_REUSE
DEV,202,Text+Global,it,417,96,45,8758,391,6.3713176524320625,EXACT_REUSE
DEV,202,ConfDupClean,it,504,105,55,8758,391,7.581639643754282,POST_REVIEW_DIAGNOSTIC
DEV,202,ConfPerm,it,512,103,54,8758,391,7.638730303722311,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Conf,it,515,111,53,8758,391,7.7529116236583695,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Global,it,512,108,51,8758,391,7.661566567709523,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text,it,443,104,45,8758,391,6.759534140214661,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text+Global,it,440,101,45,8758,391,6.691025348253026,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Conf,it,510,92,68,8758,391,7.650148435715917,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Global,it,503,92,67,8758,391,7.55880337976707,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text,it,416,85,47,8758,391,6.257136332496004,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text+Global,it,416,85,49,8758,391,6.279972596483216,POST_REVIEW_DIAGNOSTIC
DEV,303,Conf,ar,1303,90,34,5325,295,26.7981220657277,EXACT_REUSE
DEV,303,Global,ar,1298,90,33,5325,295,26.685446009389672,EXACT_REUSE
