physical_gpu,partition,recording_index,repetition,system,split,lang,quintile,original_duration_seconds,processed_duration_seconds,elapsed_seconds,model_placement_seconds_excluded,allocator_cache_cleared_before_timer,peak_allocated_bytes,peak_reserved_bytes,actual_candidates,selected_index,body_tokens,PLL_target_tokens,source_run,external_processes_before,external_processes_after,external_GPU_memory_MiB_before,external_GPU_memory_MiB_after
2,0,62,1,Text,TEST,tr,0,5.46,5.46,1.16643650457263,0.2295927358791232,True,2206979584,2246049792,4,1,24,64,IR-COST-P0_attempt0,0,0,0,0
2,0,62,1,Text+Global,TEST,tr,0,5.46,5.46,1.2410212233662605,0.017610417678952217,True,2206979584,2246049792,4,0,24,64,IR-COST-P0_attempt0,0,0,0,0
2,0,62,1,B5,TEST,tr,0,5.46,5.46,0.5647304402664304,0.949131716042757,True,873433600,929038336,1,0,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,1,Conf,TEST,tr,0,5.46,5.46,1.1290938379243016,0.055213913321495056,True,872952832,929038336,4,1,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,1,Global,TEST,tr,0,5.46,5.46,1.2063252553343773,0.054307809099555016,True,872952832,929038336,4,1,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,2,Text+Global,TEST,tr,0,5.46,5.46,1.2479019537568092,0.23038654029369354,True,2206979584,2246049792,4,0,24,64,IR-COST-P0_attempt0,0,0,0,0
2,0,62,2,B5,TEST,tr,0,5.46,5.46,0.566986002959311,0.9500661669299006,True,873433600,929038336,1,0,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,2,Conf,TEST,tr,0,5.46,5.46,1.1189757576212287,0.018343059346079826,True,872952832,929038336,4,1,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,2,Global,TEST,tr,0,5.46,5.46,1.2046759510412812,0.01810848619788885,True,872952832,929038336,4,1,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,2,Text,TEST,tr,0,5.46,5.46,1.154610289260745,0.22901924513280392,True,2206979584,2246049792,4,1,24,64,IR-COST-P0_attempt0,0,0,0,0
2,0,64,0,Text+Global,TEST,tr,1,11.04,11.04,2.0432127751410007,0.03369148448109627,True,2206979584,2319450112,4,0,45,139,IR-COST-P0_attempt0,0,0,0,0
2,0,64,0,B5,TEST,tr,1,11.04,11.04,0.9653630303218961,0.8885044334456325,True,873433600,935329792,1,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,0,Conf,TEST,tr,1,11.04,11.04,1.8825765401124954,0.01877675112336874,True,872952832,933232640,4,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,0,Global,TEST,tr,1,11.04,11.04,1.9811784103512764,0.019306684844195843,True,872952832,933232640,4,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,0,Text,TEST,tr,1,11.04,11.04,1.9775199964642525,0.2406075783073902,True,2206979584,2319450112,4,0,45,139,IR-COST-P0_attempt0,0,0,0,0
2,0,64,1,B5,TEST,tr,1,11.04,11.04,0.9779550917446613,0.9643829558044672,True,873433600,935329792,1,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,1,Conf,TEST,tr,1,11.04,11.04,1.9050958817824721,0.018730693496763706,True,872952832,933232640,4,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,1,Global,TEST,tr,1,11.04,11.04,1.9976457692682743,0.01958471816033125,True,872952832,933232640,4,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,1,Text,TEST,tr,1,11.04,11.04,1.9688687240704894,0.25711075495928526,True,2206979584,2319450112,4,0,45,139,IR-COST-P0_attempt0,0,0,0,0
2,0,64,1,Text+Global,TEST,tr,1,11.04,11.04,2.066270863637328,0.019820925779640675,True,2206979584,2319450112,4,0,45,139,IR-COST-P0_attempt0,0,0,0,0
2,0,64,2,Conf,TEST,tr,1,11.04,11.04,1.88916792627424,0.960689808242023,True,872952832,933232640,4,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,2,Global,TEST,tr,1,11.04,11.04,1.9742684932425618,0.047730952501297,True,872952832,933232640,4,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,64,2,Text,TEST,tr,1,11.04,11.04,1.9665343323722482,0.2364396322518587,True,2206979584,2319450112,4,0,45,139,IR-COST-P0_attempt0,0,0,0,0
2,0,64,2,Text+Global,TEST,tr,1,11.04,11.04,2.0737232817336917,0.05135295446962118,True,2206979584,2319450112,4,0,45,139,IR-COST-P0_attempt0,0,0,0,0
2,0,64,2,B5,TEST,tr,1,11.04,11.04,0.995645216666162,0.9725795146077871,True,873433600,935329792,1,0,45,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,0,Conf,TEST,tr,1,10.2,10.2,1.3466702131554484,0.0530883464962244,True,872952832,929038336,5,0,29,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,0,Global,TEST,tr,1,10.2,10.2,1.4710425846278667,0.01849203370511532,True,872952832,929038336,5,2,30,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,0,Text,TEST,tr,1,10.2,10.2,1.3840453866869211,0.26276854053139687,True,2206979584,2350907392,5,0,29,127,IR-COST-P0_attempt0,0,0,0,0
2,0,66,0,Text+Global,TEST,tr,1,10.2,10.2,1.4944810755550861,0.020574971102178097,True,2206979584,2350907392,5,0,29,127,IR-COST-P0_attempt0,0,0,0,0
2,0,66,0,B5,TEST,tr,1,10.2,10.2,0.6665327548980713,0.7810672726482153,True,873433600,929038336,1,0,29,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,1,Global,TEST,tr,1,10.2,10.2,1.4487724117934704,0.018394699320197105,True,872952832,929038336,5,2,30,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,1,Text,TEST,tr,1,10.2,10.2,1.4051293330267072,0.22945314645767212,True,2206979584,2350907392,5,0,29,127,IR-COST-P0_attempt0,0,0,0,0
2,0,66,1,Text+Global,TEST,tr,1,10.2,10.2,1.5072549562901258,0.02048383466899395,True,2206979584,2350907392,5,0,29,127,IR-COST-P0_attempt0,0,0,0,0
2,0,66,1,B5,TEST,tr,1,10.2,10.2,0.6615901924669743,0.7692608376964927,True,873433600,929038336,1,0,29,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,1,Conf,TEST,tr,1,10.2,10.2,1.3271879805251956,0.01832746248692274,True,872952832,929038336,5,0,29,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,2,Text,TEST,tr,1,10.2,10.2,1.385329918935895,0.23159760516136885,True,2206979584,2350907392,5,0,29,127,IR-COST-P0_attempt0,0,0,0,0
2,0,66,2,Text+Global,TEST,tr,1,10.2,10.2,1.4998207297176123,0.052842751145362854,True,2206979584,2350907392,5,0,29,127,IR-COST-P0_attempt0,0,0,0,0
2,0,66,2,B5,TEST,tr,1,10.2,10.2,0.6664306493476033,0.7725289994850755,True,873433600,929038336,1,0,29,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,2,Conf,TEST,tr,1,10.2,10.2,1.3370058927685022,0.018230910412967205,True,872952832,929038336,5,0,29,0,IR-COST-P0_attempt0,0,0,0,0
2,0,66,2,Global,TEST,tr,1,10.2,10.2,1.4485329845920205,0.021454226225614548,True,872952832,929038336,5,2,30,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,0,Text,TEST,tr,2,12.9,12.9,1.8205978479236364,0.23104334343224764,True,2206979584,2311061504,5,0,37,152,IR-COST-P0_attempt0,0,0,0,0
2,0,68,0,Text+Global,TEST,tr,2,12.9,12.9,1.9578657085075974,0.019491665065288544,True,2206979584,2311061504,5,0,37,152,IR-COST-P0_attempt0,0,0,0,0
2,0,68,0,B5,TEST,tr,2,12.9,12.9,0.8702683569863439,0.9582046680152416,True,873433600,933232640,1,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,0,Conf,TEST,tr,2,12.9,12.9,1.7075941720977426,0.018469635397195816,True,872952832,933232640,5,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,0,Global,TEST,tr,2,12.9,12.9,1.8322261488065124,0.01839970424771309,True,872952832,933232640,5,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,1,Text+Global,TEST,tr,2,12.9,12.9,1.883672215975821,0.23382352013140917,True,2206979584,2311061504,5,0,37,152,IR-COST-P0_attempt0,0,0,0,0
2,0,68,1,B5,TEST,tr,2,12.9,12.9,0.8600811138749123,0.9388615163043141,True,873433600,933232640,1,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,1,Conf,TEST,tr,2,12.9,12.9,1.698623321019113,0.018834607675671577,True,872952832,933232640,5,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,1,Global,TEST,tr,2,12.9,12.9,1.8202428435906768,0.04464530013501644,True,872952832,933232640,5,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,1,Text,TEST,tr,2,12.9,12.9,1.7581090303137898,0.25342827942222357,True,2206979584,2311061504,5,0,37,152,IR-COST-P0_attempt0,0,0,0,0
2,0,68,2,B5,TEST,tr,2,12.9,12.9,0.861459145322442,0.9221208225935698,True,873433600,933232640,1,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,2,Conf,TEST,tr,2,12.9,12.9,1.7096878699958324,0.01851643156260252,True,872952832,933232640,5,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,2,Global,TEST,tr,2,12.9,12.9,1.8297197772189975,0.018775369971990585,True,872952832,933232640,5,0,37,0,IR-COST-P0_attempt0,0,0,0,0
2,0,68,2,Text,TEST,tr,2,12.9,12.9,1.7718937527388334,0.24355583731085062,True,2206979584,2311061504,5,0,37,152,IR-COST-P0_attempt0,0,0,0,0
2,0,68,2,Text+Global,TEST,tr,2,12.9,12.9,1.9256277736276388,0.04685383103787899,True,2206979584,2311061504,5,0,37,152,IR-COST-P0_attempt0,0,0,0,0
2,0,70,0,B5,TEST,tr,2,12.84,12.84,1.143396251834929,0.9646038888022304,True,873433600,937426944,1,0,52,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,0,Conf,TEST,tr,2,12.84,12.84,2.168487811461091,0.018758428283035755,True,872952832,935329792,3,1,53,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,0,Global,TEST,tr,2,12.84,12.84,2.2368248319253325,0.01864147186279297,True,872952832,935329792,3,1,53,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,0,Text,TEST,tr,2,12.84,12.84,2.217049866914749,0.2334272675216198,True,2206979584,2319450112,3,1,53,106,IR-COST-P0_attempt0,0,0,0,0
2,0,70,0,Text+Global,TEST,tr,2,12.84,12.84,2.304956339299679,0.02010059729218483,True,2206979584,2319450112,3,1,53,106,IR-COST-P0_attempt0,0,0,0,0
2,0,70,1,Conf,TEST,tr,2,12.84,12.84,2.1584072150290012,0.9596893573179841,True,872952832,935329792,3,1,53,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,1,Global,TEST,tr,2,12.84,12.84,2.248249873518944,0.018854460678994656,True,872952832,935329792,3,1,53,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,1,Text,TEST,tr,2,12.84,12.84,2.249338353984058,0.2576307784765959,True,2206979584,2319450112,3,1,53,106,IR-COST-P0_attempt0,0,0,0,0
2,0,70,1,Text+Global,TEST,tr,2,12.84,12.84,2.313871605321765,0.020024052821099758,True,2206979584,2319450112,3,1,53,106,IR-COST-P0_attempt0,0,0,0,0
2,0,70,1,B5,TEST,tr,2,12.84,12.84,1.1368942251428962,1.000018653459847,True,873433600,937426944,1,0,52,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,2,Global,TEST,tr,2,12.84,12.84,2.2366075050085783,0.018972355872392654,True,872952832,935329792,3,1,53,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,2,Text,TEST,tr,2,12.84,12.84,2.225224446505308,0.23472521547228098,True,2206979584,2319450112,3,1,53,106,IR-COST-P0_attempt0,0,0,0,0
2,0,70,2,Text+Global,TEST,tr,2,12.84,12.84,2.2994265845045447,0.01990016456693411,True,2206979584,2319450112,3,1,53,106,IR-COST-P0_attempt0,0,0,0,0
2,0,70,2,B5,TEST,tr,2,12.84,12.84,1.1394282104447484,0.9818732710555196,True,873433600,937426944,1,0,52,0,IR-COST-P0_attempt0,0,0,0,0
2,0,70,2,Conf,TEST,tr,2,12.84,12.84,2.154700193554163,0.0186739694327116,True,872952832,935329792,3,1,53,0,IR-COST-P0_attempt0,0,0,0,0
2,0,72,0,Global,TEST,tr,3,13.26,13.26,1.5066090943291783,0.018488925881683826,True,872952832,933232640,1,0,37,0,IR-COST-P0_attempt0,0,0,0,0
